NUMBER	DATE	GRID	SPECIES	X	Y	WEIGHT	TOE	SX	SEXCON	FLAGS
6683	08/11/1995	MOSA	MN	16	F	20	2//35080	F	CSN	      
6684	08/11/1995	MOSA	MN	16	H	34	2//35090	F	CSN	      
6685	08/11/1995	MOSA	MN	18	D	16	2//3510	M	AN	      
6686	08/11/1995	MOSA	MN	13	D	24	2//3610	M	AN	      
6687	08/11/1995	MOSA	MN	17	G	25	2//4510	F	CSN	      
6688	08/11/1995	MOSA	MN	18	D	21	2//4520	F	CSN	      
6689	08/11/1995	MOSA	MN	18	E	19	2//4530	M	AN	      
6690	08/11/1995	MOSA	MN	18	G	16	2//4540	M	AN	      
6691	08/11/1995	MOSA	MN	18	H	32	2//4550	M	AN	      
6692	08/11/1995	MOSA	MN	18	H	21	2//4560	F	CSN	      
6693	08/11/1995	MOSA	MN	18	H	19	2//4570	M	AN	      
6694	08/11/1995	MOSA	MN	18	C	34	2//6100	M	AN	      
6695	08/11/1995	MOSA	MN	18	F	38	2//660	M	SV	      
6696	08/11/1995	MOSA	MN	18	D	20	2//810	M	AN	      
6697	08/11/1995	MOSA	MN	13	C	38	2//8100	F	CSN	      
6698	08/11/1995	MOSA	MN	16	G	47	2//890	M	SN	      
6699	13/11/1995	MOSA	MN	16	F	27	1//37107080	F	CSN	      
6700	13/11/1995	MOSA	MN	16	F	26	1//45207090	M	AN	      
6701	13/11/1995	MOSA	MN	16	F	28	2//23060	M	AN	      
6702	13/11/1995	MOSA	MN	16	F	25	2//4580	M	AN	     CON  
6703	13/11/1995	MOSA	MN	16	F	22	2//4590	F	CSN	      
6704	18/11/1995	MOSA	MN	16	F	30	1//18307080	M	AN	      
6705	18/11/1995	MOSA	MN	16	F	30	1//28307090	F	CSN	      
6706	18/11/1995	MOSA	MN	16	F	30	1//28308090	F	CSN	      
6707	18/11/1995	MOSA	MN	16	F	25	1//37106070	F	CSN	      
6708	18/11/1995	MOSA	MN	16	F	30	1//48104080	F	CSN	     CON  
6709	18/11/1995	MOSA	MN	16	F	40	2//23070	F	CSN	      
6710	18/11/1995	MOSA	MN	16	F	25	2//4580	M	AN	     CON  
6711	19/11/1995	MOSA	MN	16	F	29	1//171060100	F	CSN	      
6712	19/11/1995	MOSA	MN	16	F	30	1//18307080	M	AN	      
6713	19/11/1995	MOSA	MN	16	F	26	1//282080100	F	CSN	      
6714	19/11/1995	MOSA	MN	16	F	21	1//475060100 B	F	CSN	      
6715	19/11/1995	MOSA	MN	16	F	18	2//45100	M	AN	      
6716	19/11/1995	MOSA	MN	16	F	16	2//4610	F	CSN	      
6717	22/11/1995	MOSA	MN	7	J	43	1//15106080	F	CSN	     CON  
6718	22/11/1995	MOSA	MN	21	B	23	1//15206070	F	CSN	     CON  
6719	22/11/1995	MOSA	MN	25	F	29	1//15207080	M	AN	     CON  
6720	22/11/1995	MOSA	MN	29	C	39	1//152090100	M	SV	      
6721	22/11/1995	MOSA	MN	4	C	31	1//15306090	M	SV	     CON  
6722	22/11/1995	MOSA	MN	5	A	44	1//153070100	M	SV	      
6723	22/11/1995	MOSA	MN	15	I	24	1//153080100	F	CSN	      
6724	22/11/1995	MOSA	MN	27	I	37	1//155060100	F	CSN	     CON  
6725	22/11/1995	MOSA	MN	22	E	25	1//161090100	M	AN	     CON  
6726	22/11/1995	MOSA	MN	26	A	37	1//16207090	F	CSN	     CON  
6727	22/11/1995	MOSA	MN	2	H	44	1//163080100	F	CSN	      
6728	22/11/1995	MOSA	MN	4	G	36	1//163090100	M	AN	      
6729	22/11/1995	MOSA	MN	2	F	30	1//16406080	F	CSN	      
6730	22/11/1995	MOSA	MN	9	I	31	1//164080100	F	CSN	      
6731	22/11/1995	MOSA	MN	11	B	28	1//165070100	F	CSN	      
6732	22/11/1995	MOSA	MN	14	G	23	1//165090100	F	CSN	      
6733	22/11/1995	MOSA	MN	15	D	25	1//171060100	F	CSN	      
6734	22/11/1995	MOSA	MN	19	B	23	1//17206080	M	AN	      
6735	22/11/1995	MOSA	MN	27	H	26	1//173060100	M	SV	      
6736	22/11/1995	MOSA	MN	26	G	24	1//173090100	F	CSN	      
6737	22/11/1995	MOSA	MN	30	H	31	1//174090100	F	CSN	      
6738	22/11/1995	MOSA	MN	7	I	33	1//18108090	F	CSN	      
6739	22/11/1995	MOSA	MN	8	C	28	1//181090100	M	AN	      
6740	22/11/1995	MOSA	MN	12	C	18	1//182070100	F	CSN	      
6741	22/11/1995	MOSA	MN	11	E	34	1//182080100	M	SV	      
6742	22/11/1995	MOSA	MN	13	A	38	1//18306080	M	SV	      
6743	22/11/1995	MOSA	MN	15	H	29	1//18307080	M	AN	      
6744	22/11/1995	MOSA	MN	20	E	39	1//184090100	F	CSN	     CON  
6745	22/11/1995	MOSA	MN	25	A	35	1//25108090	F	CSN	     CON  
6746	22/11/1995	MOSA	MN	25	G	30	1//25208090	F	CSN	      
6747	22/11/1995	MOSA	MN	27	E	38	1//253060100	M	AN	      
6748	22/11/1995	MOSA	MN	28	G	31	1//25308090	M	AN	      
6749	22/11/1995	MOSA	MN	17	H	36	1//25407090	F	CSN	      
6750	22/11/1995	MOSA	MN	9	E	27	1//255080100	F	CSN	      
6751	22/11/1995	MOSA	MN	12	B	20	1//26306080	M	AN	      
6752	22/11/1995	MOSA	MN	22	I	28	1//26406090	M	AN	     CON  
6753	22/11/1995	MOSA	MN	30	F	31	1//26507090	F	CSN	      
6754	22/11/1995	MOSA	MN	7	H	40	1//27406080	F	CSN	      
6755	22/11/1995	MOSA	MN	9	H	34	1//275060100	M	AN	     CON  
6756	22/11/1995	MOSA	MN	11	F	25	1//275080100	M	AN	      
6757	22/11/1995	MOSA	MN	14	A	23	1//28108090	F	CSN	      
6758	22/11/1995	MOSA	MN	14	I	21	1//281090100	F	CSN	      
6759	22/11/1995	MOSA	MN	16	F	22	1//28307090	F	CSN	      
6760	22/11/1995	MOSA	MN	20	H	38	1//28506070	M	SV	      
6761	22/11/1995	MOSA	MN	18	B	21	1//28507080	M	AN	      
6762	22/11/1995	MOSA	MN	26	F	23	1//353060100	M	AN	      
6763	22/11/1995	MOSA	MN	27	F	26	1//35307090	F	CSN	      
6764	22/11/1995	MOSA	LR	26	I	25	1//35308090	M	AN	      
6765	22/11/1995	MOSA	LR	22	G	40	1//35406070	M	AN	     CON  
6766	22/11/1995	MOSA	LR	27	A	41	1//35407090	M	AN	      
6767	22/11/1995	MOSA	MN	27	C	28	1//355060100	M	AN	      
6768	22/11/1995	MOSA	LR	27	J	46	1//35507090	F	CSN	      
6769	22/11/1995	MOSA	MN	2	C	31	1//362060100	M	SV	      
6770	22/11/1995	MOSA	MN	7	E	15	1//36207090	F	CSN	      
6771	22/11/1995	MOSA	MN	4	D	16	1//362080100	F	CSN	      
6772	22/11/1995	MOSA	MN	5	H	20	1//36208090	F	CSN	      
6773	22/11/1995	MOSA	MN	8	A	20	1//36306070	M	AN	      
6774	22/11/1995	MOSA	MN	8	E	24	1//36306090	M	AN	      
6775	22/11/1995	MOSA	MN	8	F	31	1//363070100	M	AN	     CON  
6776	22/11/1995	MOSA	MN	7	A	38	1//36406070	F	CSN	     CON  
6777	22/11/1995	MOSA	MN	10	A	32	1//36407090	F	CSN	      
6778	22/11/1995	MOSA	MN	15	F	23	1//37106070	F	CSN	      
6779	22/11/1995	MOSA	TA	5	J	62	1//373090100	F	CSN	      
6780	22/11/1995	MOSA	MN	23	A	33	1//38206070	M	SV	     CON  
6781	22/11/1995	MOSA	MN	4	B	23	1//38406070	M	AN	      
6782	22/11/1995	MOSA	MN	7	B	15	1//384070100	M	AN	      
6783	22/11/1995	MOSA	MN	12	A	28	1//38507090	M	AN	      
6784	22/11/1995	MOSA	MN	14	F	18	1//45107090	M	AN	      
6785	22/11/1995	MOSA	MN	14	E	22	1//45206080	M	AN	      
6786	22/11/1995	MOSA	MN	17	C	30	1//45306070	M	AN	      
6787	22/11/1995	MOSA	MN	25	E	20	1//46106090	F	CSN	      
6788	22/11/1995	MOSA	MN	26	I	19	1//46206070	M	AN	      
6789	22/11/1995	MOSA	MN	1	D	18	1//46304090	M	AN	      
6790	22/11/1995	MOSA	MN	3	B	25	1//46306090	M	AN	      
6791	22/11/1995	MOSA	MN	5	F	28	1//463070100	M	AN	      
6792	22/11/1995	MOSA	MN	6	F	17	1//46406080	M	AN	      
6793	22/11/1995	MOSA	MN	5	G	27	1//46406090	F	CSN	      
6794	22/11/1995	MOSA	MN	4	A	20	1//46407080	F	CSN	      
6795	22/11/1995	MOSA	MN	7	F	23	1//46408090	M	AN	      
6796	22/11/1995	MOSA	MN	6	A	21	1//465090100	M	AN	      
6797	22/11/1995	MOSA	MN	1	B	22	1//47102070	M	AN	     CON  
6798	22/11/1995	MOSA	MN	10	I	36	1//47103090	F	CSN	     CON  
6799	22/11/1995	MOSA	MN	8	H	38	1//47104060	F	CSN	     CON  
6800	22/11/1995	MOSA	MN	10	H	24	1//47106080	F	CSN	      
6801	22/11/1995	MOSA	MN	9	F	31	1//47107090	F	CSN	      
6802	22/11/1995	MOSA	MN	11	G	25	1//47206080	M	AN	      
6803	22/11/1995	MOSA	MN	11	I	20	1//47207090	F	CSN	      
6804	22/11/1995	MOSA	MN	12	I	20	1//47208090	F	CSN	      
6805	22/11/1995	MOSA	MN	11	D	37	1//47308090	M	AN	      
6806	22/11/1995	MOSA	MN	28	H	32	1//47405080	F	CSN	     CON  
6807	22/11/1995	MOSA	MN	19	G	27	1//47507090	F	CSN	      
6808	22/11/1995	MOSA	MN	15	A	31	1//475080100	M	AN	      
6809	22/11/1995	MOSA	MN	6	G	30	1//48102080	M	AN	     CON  
6810	22/11/1995	MOSA	MN	3	C	36	1//48102090	F	CSN	     CON  
6811	22/11/1995	MOSA	MN	13	E	43	1//48104080	F	CSN	     CON  
6812	22/11/1995	MOSA	MN	19	F	20	1//481090100	M	AN	      
6813	22/11/1995	MOSA	MN	20	B	42	1//48203060	M	SV	     CON  
6814	22/11/1995	MOSA	MN	20	D	30	1//48203070	M	SN	      
6815	22/11/1995	MOSA	MN	20	I	19	1//482060100	M	AN	      
6816	22/11/1995	MOSA	MN	19	D	40	1//48206070	M	SV	      
6817	22/11/1995	MOSA	MN	22	I	22	1//483070100	M	AN	      
6818	22/11/1995	MOSA	MN	13	D	20	1//48308090	M	AN	      
6819	22/11/1995	MOSA	MN	30	E	43	1//48405060	M	SV	      
6820	22/11/1995	MOSA	MN	21	F	33	1//48406080	F	CSN	     CON  
6821	22/11/1995	MOSA	LR	24	A	33	1//48407090	F	CSN	      
6822	22/11/1995	MOSA	TA	23	D	82	1//48506070	F	CSN	      
6823	22/11/1995	MOSA	MN	25	I	25	1//48508090	M	AN	      
6824	22/11/1995	MOSA	MN	7	E	13	2//11090	F	CSN	      
6825	22/11/1995	MOSA	MN	2	D	10	2//15060	M	AN	      
6826	22/11/1995	MOSA	MN	12	E	28	2//1530	M	AN	      
6827	22/11/1995	MOSA	MN	4	A	34	2//1550	M	AN	     CON  
6828	22/11/1995	MOSA	MN	10	D	30	2//1640	M	AN	      
6829	22/11/1995	MOSA	LR	27	D	41	2//170	F	CSN	      
6830	22/11/1995	MOSA	MN	9	A	42	2//1750	F	CSN	     CON  
6831	22/11/1995	MOSA	MN	5	I	34	2//1790	F	CSN	      
6832	22/11/1995	MOSA	MN	4	H	25	2//1850	M	AN	      
6833	22/11/1995	MOSA	MN	2	I	20	2//1890	F	CSN	      
6834	22/11/1995	MOSA	MN	16	J	21	2//2070	M	AN	      
6835	22/11/1995	MOSA	MN	14	B	31	2//2090	F	CSN	      
6836	22/11/1995	MOSA	MN	13	F	20	2//21060	M	AN	      
6837	22/11/1995	MOSA	MN	16	A	21	2//21070	F	CSN	      
6838	22/11/1995	MOSA	MN	29	B	21	2//220	F	CSN	      
6839	22/11/1995	MOSA	MN	17	B	23	2//2205060	M	AN	      
6840	22/11/1995	MOSA	MN	15	E	26	2//23060	M	AN	      
6841	22/11/1995	MOSA	MN	16	H	32	2//23070	F	CSN	      
6842	22/11/1995	MOSA	MN	17	I	30	2//24070	M	AN	      
6843	22/11/1995	MOSA	MN	16	I	28	2//25070	F	CSN	      
6844	22/11/1995	MOSA	MN	27	B	30	2//25306090	M	AN	      
6845	22/11/1995	MOSA	MN	8	G	16	2//2680	M	AN	      
6846	22/11/1995	MOSA	MN	6	H	30	2//2690	M	AN	      
6847	22/11/1995	MOSA	MN	9	J	48	2//27100	M	SV	      
6848	22/11/1995	MOSA	MN	13	H	20	2//2790	F	CSN	      
6849	22/11/1995	MOSA	MN	28	G	21	2//280	F	CSN	      
6850	22/11/1995	MOSA	MN	14	C	36	2//3090	F	CSN	     CON  
6851	22/11/1995	MOSA	MN	14	D	20	2//310100	F	CSN	      
6852	22/11/1995	MOSA	MN	29	J	22	2//31060	M	AN	      
6853	22/11/1995	MOSA	MN	14	F	22	2//320100	M	AN	      
6854	22/11/1995	MOSA	MN	13	G	14	2//32060	M	AN	      
6855	22/11/1995	MOSA	MN	14	H	21	2//33080	F	CSN	      
6856	22/11/1995	MOSA	MN	13	B	31	2//35070	F	CSN	      
6857	22/11/1995	MOSA	MN	23	C	34	2//35100	M	AN	     CON  
6858	22/11/1995	MOSA	MN	24	G	38	2//353070100	F	CSN	      
6859	22/11/1995	MOSA	MN	21	I	21	2//3580	M	AN	      
6860	22/11/1995	MOSA	MN	26	B	43	2//36102060	M	SV	      
6861	22/11/1995	MOSA	MN	22	B	35	2//3620	F	CSN	      
6862	22/11/1995	MOSA	MN	26	I	33	2//3730	M	AN	      
6863	22/11/1995	MOSA	MN	26	E	24	2//3740	M	AN	      
6864	22/11/1995	MOSA	MN	28	J	28	2//3790	F	CSN	      
6865	22/11/1995	MOSA	MN	29	D	40	2//380	M	SV	      
6866	22/11/1995	MOSA	MN	25	C	32	2//3830	M	AN	      
6867	22/11/1995	MOSA	MN	29	H	18	2//3840	F	CSN	      
6868	22/11/1995	MOSA	MN	7	C	25	2//38506090	M	AN	      
6869	22/11/1995	MOSA	MN	28	I	23	2//3860	F	CSN	      
6870	22/11/1995	MOSA	MN	30	B	23	2//3890	M	AN	      
6871	22/11/1995	MOSA	MN	9	B	23	2//410100	M	AN	      
6872	22/11/1995	MOSA	MN	6	B	11	2//41060	F	CSN	      
6873	22/11/1995	MOSA	MN	8	A	18	2//41070	M	AN	      
6874	22/11/1995	MOSA	MN	8	I	28	2//41080	F	CSN	      
6875	22/11/1995	MOSA	MN	9	G	16	2//41090	M	AN	      
6876	22/11/1995	MOSA	MN	10	C	19	2//420100	F	CSN	      
6877	22/11/1995	MOSA	MN	9	C	35	2//42060	M	AN	      
6878	22/11/1995	MOSA	MN	9	D	20	2//42070	M	AN	      
6879	22/11/1995	MOSA	MN	10	G	26	2//42080	M	AN	      
6880	22/11/1995	MOSA	MN	10	F	35	2//42090	M	AN	      
6881	22/11/1995	MOSA	MN	11	I	27	2//430100	M	AN	      
6882	22/11/1995	MOSA	MN	10	C	18	2//43060	F	CSN	      
6883	22/11/1995	MOSA	MN	10	B	19	2//43070	M	AN	      
6884	22/11/1995	MOSA	MN	10	H	24	2//43080	F	CSN	      
6885	22/11/1995	MOSA	MN	10	E	32	2//43090	M	AN	      
6886	22/11/1995	MOSA	MN	12	C	14	2//440100	F	CSN	      
6887	22/11/1995	MOSA	MN	11	A	29	2//44060	M	AN	      
6888	22/11/1995	MOSA	MN	11	H	39	2//44070	M	SN	      
6889	22/11/1995	MOSA	MN	11	C	16	2//44080	F	CSN	      
6890	22/11/1995	MOSA	MN	12	D	35	2//44090	F	CSN	      
6891	22/11/1995	MOSA	MN	13	G	16	2//450100	M	AN	      
6892	22/11/1995	MOSA	MN	12	F	30	2//45060	M	AN	      
6893	22/11/1995	MOSA	MN	12	G	22	2//45070	F	CSN	      
6894	22/11/1995	MOSA	MN	12	H	31	2//45080	M	AN	      
6895	22/11/1995	MOSA	MN	13	C	17	2//45090	F	CSN	      
6896	22/11/1995	MOSA	MN	20	J	21	2//451060	M	AN	      
6897	22/11/1995	MOSA	MN	19	H	25	2//4550	M	AN	      
6898	22/11/1995	MOSA	MN	17	G	20	2//4590	F	CSN	      
6899	22/11/1995	MOSA	MN	2	E	51	2//46100	F	CSN	      
6900	22/11/1995	MOSA	MN	1	A	37	2//4620	F	CSN	      
6901	22/11/1995	MOSA	MN	1	H	15	2//4630	F	CSN	      
6902	22/11/1995	MOSA	MN	1	C	19	2//4640	M	AN	      
6903	22/11/1995	MOSA	MN	1	I	15	2//4650	M	AN	      
6904	22/11/1995	MOSA	MN	1	I	16	2//4660	M	AN	      
6905	22/11/1995	MOSA	MN	1	J	26	2//4670	M	AN	      
6906	22/11/1995	MOSA	MN	1	F	23	2//4680	F	CSN	      
6907	22/11/1995	MOSA	MN	2	J	13	2//4690	M	AN	      
6908	22/11/1995	MOSA	MN	2	B	25	2//4710	M	AN	      
6909	22/11/1995	MOSA	MN	4	J	43	2//47100	F	CSN	      
6910	22/11/1995	MOSA	MN	2	D	11	2//4720	M	AN	      
6911	22/11/1995	MOSA	MN	2	A	28	2//4730	M	SN	      
6912	22/11/1995	MOSA	MN	3	A	26	2//4740	M	SN	     CON  
6913	22/11/1995	MOSA	MN	3	G	37	2//4750	M	SV	      
6914	22/11/1995	MOSA	MN	3	J	16	2//4760	M	AN	      
6915	22/11/1995	MOSA	MN	3	J	13	2//4770	M	AN	      
6916	22/11/1995	MOSA	MN	3	H	18	2//4780	M	AN	      
6917	22/11/1995	MOSA	MN	4	I	18	2//4790	M	AN	      
6918	22/11/1995	MOSA	MN	5	B	29	2//4810	M	AN	      
6919	22/11/1995	MOSA	MN	8	B	34	2//48100	F	CSN	      
6920	22/11/1995	MOSA	LR	5	C	56	2//4820	M	SV	      
6921	22/11/1995	MOSA	MN	5	E	23	2//4830	F	CSN	      
6922	22/11/1995	MOSA	MN	6	I	35	2//4840	M	AN	      
6923	22/11/1995	MOSA	MN	6	A	32	2//4850	M	AN	      
6924	22/11/1995	MOSA	MN	6	D	13	2//4860	M	AN	      
6925	22/11/1995	MOSA	MN	6	B	23	2//4870	M	AN	      
6926	22/11/1995	MOSA	MN	7	G	29	2//4880	M	AN	      
6927	22/11/1995	MOSA	MN	7	B	20	2//4890	M	AN	      
6928	22/11/1995	MOSA	MN	15	G	28	2//510100	M	AN	      
6929	22/11/1995	MOSA	MN	11	J	28	2//51060	M	AN	      
6930	22/11/1995	MOSA	MN	13	I	33	2//51070	F	CSN	      
6931	22/11/1995	MOSA	LR	13	J	35	2//51080	M	AN	      
6932	22/11/1995	MOSA	MN	14	J	41	2//51090	F	CSN	      
6933	22/11/1995	MOSA	MN	17	F	22	2//520100	M	AN	      
6934	22/11/1995	MOSA	MN	15	J	24	2//52060	M	AN	      
6935	22/11/1995	MOSA	MN	15	B	32	2//52070	M	AN	      
6936	22/11/1995	MOSA	MN	16	C	38	2//52080	M	SV	      
6937	22/11/1995	MOSA	MN	16	E	46	2//52090	M	SV	      
6938	22/11/1995	MOSA	MN	24	E	50	2//530	M	SV	      
6939	22/11/1995	MOSA	MN	18	A	26	2//530100	F	CSN	      
6940	22/11/1995	MOSA	MN	17	F	29	2//53060	F	CSN	      
6941	22/11/1995	MOSA	MN	17	A	25	2//53070	M	AN	      
6942	22/11/1995	MOSA	MN	17	J	33	2//53080	M	SN	     CON  
6943	22/11/1995	MOSA	MN	18	F	14	2//53090	F	CSN	      
6944	22/11/1995	MOSA	MN	19	E	42	2//540100	F	CSN	      
6945	22/11/1995	MOSA	MN	18	J	28	2//54060	F	CSN	      
6946	22/11/1995	MOSA	MN	18	C	17	2//54070	M	AN	      
6947	22/11/1995	MOSA	MN	19	A	26	2//54080	M	AN	      
6948	22/11/1995	MOSA	MN	19	I	19	2//54090	F	CSN	      
6949	22/11/1995	MOSA	MN	20	G	17	2//550100	M	AN	      
6950	22/11/1995	MOSA	MN	19	C	14	2//55060	M	AN	      
6951	22/11/1995	MOSA	TA	20	C	55	2//55070	M	AN	      
6952	22/11/1995	MOSA	MN	20	A	19	2//55080	F	CSN	      
6953	22/11/1995	MOSA	MN	20	F	23	2//55090	M	AN	      
6954	22/11/1995	MOSA	MN	21	J	25	2//610	M	AN	      
6955	22/11/1995	MOSA	MN	22	A	35	2//610100	M	AN	      
6956	22/11/1995	MOSA	MN	21	A	24	2//61060	M	AN	      
6957	22/11/1995	MOSA	MN	21	D	33	2//61070	M	SN	     CON  
6958	22/11/1995	MOSA	MN	21	E	26	2//61080	M	AN	      
6959	22/11/1995	MOSA	MN	22	C	17	2//61090	M	AN	      
6960	22/11/1995	MOSA	MN	23	B	30	2//620100	M	AN	      
6961	22/11/1995	MOSA	MN	22	J	28	2//62060	M	AN	      
6962	22/11/1995	MOSA	MN	22	H	23	2//62070	M	AN	      
6963	22/11/1995	MOSA	MN	22	D	17	2//62080	M	AN	      
6964	22/11/1995	MOSA	MN	22	F	38	2//62090	M	SN	      
6965	22/11/1995	MOSA	MN	23	I	26	2//630100	M	AN	      
6966	22/11/1995	MOSA	MN	23	E	20	2//63060	M	AN	      
6967	22/11/1995	MOSA	TA	23	F	46	2//63070	M	AN	      
6968	22/11/1995	MOSA	MN	23	G	32	2//63080	M	AN	     CON  
6969	22/11/1995	MOSA	MN	23	H	31	2//63090	F	CSN	      
6970	22/11/1995	MOSA	MN	24	C	19	2//640100	M	AN	      
6971	22/11/1995	MOSA	MN	23	I	16	2//64060	F	CSN	      
6972	22/11/1995	MOSA	MN	23	J	16	2//64070	F	CSN	      
6973	22/11/1995	MOSA	MN	24	F	33	2//64080	M	AN	      
6974	22/11/1995	MOSA	MN	24	D	40	2//64090	F	CSN	      
6975	22/11/1995	MOSA	LR	26	D	33	2//650100	M	AN	      
6976	22/11/1995	MOSA	MN	24	I	30	2//65060	M	AN	      
6977	22/11/1995	MOSA	MN	25	B	16	2//65070	F	CSN	      
6978	22/11/1995	MOSA	MN	25	J	25	2//65080	F	CSN	      
6979	22/11/1995	MOSA	MN	25	H	23	2//65090	M	AN	      
6980	22/11/1995	MOSA	MN	21	H	33	2//660	M	SV	      
6981	22/11/1995	MOSA	LR	28	C	36	2//710100	F	CSN	      
6982	22/11/1995	MOSA	MN	26	C	23	2//71060	F	CSN	      
6983	22/11/1995	MOSA	TA	27	G	69	2//71070	M	AN	      
6984	22/11/1995	MOSA	MN	28	B	39	2//71080	M	AN	      
6985	22/11/1995	MOSA	MN	28	E	26	2//71090	F	CSN	      
6986	22/11/1995	MOSA	MN	29	E	15	2//720100	M	AN	      
6987	22/11/1995	MOSA	MN	28	D	19	2//72060	F	CSN	      
6988	22/11/1995	MOSA	MN	28	A	15	2//72070	F	CSN	      
6989	22/11/1995	MOSA	MN	28	A	18	2//72080	M	AN	      
6990	22/11/1995	MOSA	MN	28	F	18	2//72090	M	AN	      
6991	22/11/1995	MOSA	MN	30	B	19	2//730100	M	AN	      
6992	22/11/1995	MOSA	MN	29	A	33	2//73060	F	CSN	      
6993	22/11/1995	MOSA	MN	29	G	18	2//73070	M	AN	      
6994	22/11/1995	MOSA	MN	29	I	23	2//73080	M	AN	      
6995	22/11/1995	MOSA	MN	30	A	48	2//73090	M	SV	      
6996	22/11/1995	MOSA	LR	19	J	30	2//740	F	CSN	      
6997	22/11/1995	MOSA	MN	30	D	19	2//74060	F	CSN	      
6998	22/11/1995	MOSA	MN	30	H	14	2//74070	M	AN	      
6999	22/11/1995	MOSA	MN	30	I	18	2//74080	F	CSN	      
7000	22/11/1995	MOSA	MN	30	J	31	2//74090	M	SN	      
7001	22/11/1995	MOSA	MN	18	F	15	2//810	M	AN	      
7002	23/11/1995	MOSA	MN	7	J	38	1//15106080	F	CSN	     CON  
7003	23/11/1995	MOSA	MN	19	C	23	1//15206070 B	F	CSN	     CON  
7004	23/11/1995	MOSA	MN	25	E	28	1//15207080	M	SV	     CON  
7005	23/11/1995	MOSA	MN	29	B	38	1//152090100	M	SV	      
7006	23/11/1995	MOSA	MN	5	D	28	1//15306090	M	AN	     CON  
7007	23/11/1995	MOSA	MN	12	H	33	1//161060100	M	AN	     CON  
7008	23/11/1995	MOSA	MN	26	A	34	1//16207090	F	CSN	     CON  
7009	23/11/1995	MOSA	MN	25	F	32	1//16208090	F	CSN	     CON  
7010	23/11/1995	MOSA	MN	29	A	37	1//16307090	F	CSN	     CON  
7011	23/11/1995	MOSA	MN	2	F	42	1//163080100	F	CSN	      
7012	23/11/1995	MOSA	MN	8	C	24	1//164070100	F	CSN	      
7013	23/11/1995	MOSA	MN	9	I	29	1//16506070	F	CSN	      
7014	23/11/1995	MOSA	MN	15	I	22	1//16507080	F	CSN	      
7015	23/11/1995	MOSA	MN	19	B	23	1//17206080	M	AN	      
7016	23/11/1995	MOSA	MN	25	G	42	1//173070100	M	SV	      
7017	23/11/1995	MOSA	MN	28	A	35	1//17308090	F	CSN	      
7018	23/11/1995	MOSA	MN	27	G	25	1//173090100	F	CSN	      
7019	23/11/1995	MOSA	MN	30	I	29	1//174090100	F	CSN	      
7020	23/11/1995	MOSA	MN	30	H	24	1//17506070	M	AN	      
7021	23/11/1995	MOSA	MN	3	C	36	1//17508090	F	CSN	     CON  
7022	23/11/1995	MOSA	MN	9	E	25	1//18207080	F	CSN	      
7023	23/11/1995	MOSA	MN	15	J	28	1//18307080	M	AN	      
7024	23/11/1995	MOSA	MN	14	H	26	1//183090100	F	CSN	      
7025	23/11/1995	MOSA	MN	20	E	39	1//184090100	F	CSN	     CON  
7026	23/11/1995	MOSA	MN	23	J	27	1//252070100	F	CSN	      
7027	23/11/1995	MOSA	MN	27	E	38	1//253060100	M	AN	      
7028	23/11/1995	MOSA	MN	29	G	29	1//25308090	M	AN	      
7029	23/11/1995	MOSA	MN	17	H	37	1//25407090	F	CSN	      
7030	23/11/1995	MOSA	MN	3	A	20	1//25506090	F	CSN	      
7031	23/11/1995	MOSA	MN	20	H	30	1//26406090	M	AN	     CON  
7032	23/11/1995	MOSA	MN	6	D	26	1//27306090	F	CSN	      
7033	23/11/1995	MOSA	MN	7	G	37	1//27406080	F	CSN	      
7034	23/11/1995	MOSA	MN	8	E	28	1//27506090	M	AN	      
7035	23/11/1995	MOSA	MN	14	I	21	1//281090100	F	CSN	      
7036	23/11/1995	MOSA	MN	15	F	24	1//282080100	F	CSN	      
7037	23/11/1995	MOSA	MN	18	C	32	1//352080100	M	SN	     CON  
7038	23/11/1995	MOSA	MN	26	F	23	1//353060100	M	AN	      
7039	23/11/1995	MOSA	LR	22	F	39	1//35406070	M	AN	     CON  
7040	23/11/1995	MOSA	LR	27	A	40	1//35407090	M	AN	      
7041	23/11/1995	MOSA	MN	26	C	29	1//355060100	M	AN	      
7042	23/11/1995	MOSA	MN	2	C	29	1//362060100	M	SN	      
7043	23/11/1995	MOSA	MN	5	H	19	1//36208090	F	CSN	      
7044	23/11/1995	MOSA	MN	7	F	29	1//363070100	M	AN	     CON  
7045	23/11/1995	MOSA	MN	7	A	35	1//36406070	F	CSN	     CON  
7046	23/11/1995	MOSA	MN	13	I	41	1//364070100	M	SV	      
7047	23/11/1995	MOSA	MN	20	D	42	1//37306070	F	CSN	      
7048	23/11/1995	MOSA	MN	19	J	21	1//37406070	F	CSN	      
7049	23/11/1995	MOSA	MN	26	I	38	1//37408090	M	SV	      
7050	23/11/1995	MOSA	MN	24	G	34	1//375090100	M	AN	     CON  
7051	23/11/1995	MOSA	MN	25	A	33	1//38206070	M	SV	     CON  
7052	23/11/1995	MOSA	MN	1	B	37	1//382070100	M	AN	      
7053	23/11/1995	MOSA	MN	4	C	21	1//38406070	M	AN	      
7054	23/11/1995	MOSA	MN	11	A	27	1//38507090	M	AN	      
7055	23/11/1995	MOSA	MN	26	B	18	1//451080100 B	F	CSN	      
